[22:13:12.335] Namespace(root_path='../data/Synapse/train_npz', dataset='Synapse', list_dir='./lists/lists_Synapse', num_classes=9, max_iterations=30000, max_epochs=300, batch_size=24, n_gpu=1, deterministic=1, base_lr=0.01, img_size=224, seed=1234, n_skip=3, vit_name='R50-ViT-B_16', vit_patches_size=16, window_size=7, rank=32, groups=8, disable_gate=False, val_interval=15, is_pretrain=True, exp='AdaDA_Synapse224')
[22:13:12.344] 93 iterations per epoch. 27900 max iterations 
[22:15:17.707] Namespace(root_path='../data/Synapse/train_npz', dataset='Synapse', list_dir='./lists/lists_Synapse', num_classes=9, max_iterations=30000, max_epochs=300, batch_size=24, n_gpu=1, deterministic=1, base_lr=0.01, img_size=224, seed=1234, n_skip=3, vit_name='R50-ViT-B_16', vit_patches_size=16, window_size=7, rank=32, groups=8, disable_gate=False, val_interval=15, is_pretrain=True, exp='AdaDA_Synapse224')
[22:15:17.714] 93 iterations per epoch. 27900 max iterations 
[06:01:30.028] epoch 123/300  loss: 0.0308  loss_ce: 0.0081  lr: 0.006220  elapsed: 4.72h
[06:03:47.970] epoch 124/300  loss: 0.0304  loss_ce: 0.0082  lr: 0.006188  elapsed: 4.76h
[06:06:05.845] epoch 125/300  loss: 0.0299  loss_ce: 0.0085  lr: 0.006157  elapsed: 4.80h
[06:08:24.443] epoch 126/300  loss: 0.0359  loss_ce: 0.0081  lr: 0.006125  elapsed: 4.83h
[06:10:42.006] epoch 127/300  loss: 0.0315  loss_ce: 0.0083  lr: 0.006093  elapsed: 4.87h
[06:12:59.488] epoch 128/300  loss: 0.0301  loss_ce: 0.0082  lr: 0.006062  elapsed: 4.91h
[06:15:17.695] epoch 129/300  loss: 0.0323  loss_ce: 0.0080  lr: 0.006030  elapsed: 4.95h
[06:17:35.980] epoch 130/300  loss: 0.0320  loss_ce: 0.0081  lr: 0.005998  elapsed: 4.99h
[06:19:54.114] epoch 131/300  loss: 0.0284  loss_ce: 0.0079  lr: 0.005966  elapsed: 5.03h
[06:22:12.293] epoch 132/300  loss: 0.0346  loss_ce: 0.0080  lr: 0.005935  elapsed: 5.06h
[06:24:29.953] epoch 133/300  loss: 0.0352  loss_ce: 0.0085  lr: 0.005903  elapsed: 5.10h
[06:26:47.772] epoch 134/300  loss: 0.0321  loss_ce: 0.0082  lr: 0.005871  elapsed: 5.14h
[06:29:05.565] epoch 135/300  loss: 0.0331  loss_ce: 0.0087  lr: 0.005839  elapsed: 5.18h
[06:51:47.501] epoch 135 val_dice: 0.7614  best: 0.7793
